query,expected_answer
"What is the capital of France?","Paris"
"Who is the CEO of Apple?","Tim Cook"
"What is the largest planet in our Solar System?","Jupiter"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare"
"What is the chemical symbol for Oxygen?","O"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"What is the boiling point of water at sea level in Celsius?","100"
"Which country hosted the 2020 Summer Olympics?","Japan"
"What is the smallest prime number?","2"
"What is the largest mammal on Earth?","Blue Whale"
